text_id,post_text,sentiment_label,topic_category,raw_text,cleaned_text
TXT_00093,RT @user There won't be just a Party in the USA tonight there'll be a Party Worldwide when Miley wins. BOOYAH! TCAForMiley,Positive,Community_Discussion,RT @user There won't be just a Party in the USA tonight there'll be a Party Worldwide when Miley wins. BOOYAH! TCAForMiley,RT @user There won't be just a Party in the USA tonight there'll be a Party Worldwide when Miley wins. BOOYAH! TCAForMiley
TXT_00106,What works for Kim Kardashian may not work the same way for you girls! #Facts,Negative,Community_Discussion,What works for Kim Kardashian may not work the same way for you girls! #Facts,What works for Kim Kardashian may not work the same way for you girls! Facts
TXT_00110,Rick Perry may by a vineyard and retire so he can whine all day.,Negative,Community_Discussion,Rick Perry may by a vineyard and retire so he can whine all day.,Rick Perry may by a vineyard and retire so he can whine all day.
TXT_00119,Because Tony Blair not just responsible for the death of 1m Iraqis... #warcriminal #Iraq @user,Negative,Community_Discussion,Because Tony Blair not just responsible for the death of 1m Iraqis... #warcriminal #Iraq @user,Because Tony Blair not just responsible for the death of 1m Iraqis.. warcriminal Iraq @user
TXT_00152,"Is this the end for Rick Perry? If 2011 hasn't taught him anything, he may as well campaign his way out of Federal #LOCKUP !! AND #LOSE!!",Negative,Community_Discussion,"Is this the end for Rick Perry? If 2011 hasn't taught him anything, he may as well campaign his way out of Federal #LOCKUP !! AND #LOSE!!","Is this the end for Rick Perry? If 2011 hasn't taught him anything, he may as well campaign his way out of Federal LOCKUP !! AND LOSE!!"
TXT_00154,Yakub may not be hanged because Hindus are not united. This is the sad and bitter truth. Live with it.,Negative,Community_Discussion,Yakub may not be hanged because Hindus are not united. This is the sad and bitter truth. Live with it.,Yakub may not be hanged because Hindus are not united. This is the sad and bitter truth. Live with it.
TXT_00159,@user r yall going to be in dallas friday & saturday?,Neutral,Community_Discussion,@user r yall going to be in dallas friday & saturday?,@user r yall going to be in dallas friday & saturday?
TXT_00165,"""Anaconda's a music video gem, but T-Swift's Bad Blood is in a classic comedy vault--it's the best of its kind since Rebecca Black's """"Friday""""""",Positive,Community_Discussion,"""Anaconda's a music video gem, but T-Swift's Bad Blood is in a classic comedy vault--it's the best of its kind since Rebecca Black's """"Friday""""""","Anaconda's a music video gem, but T-Swift's Bad Blood is in a classic comedy vault--it's the best of its kind since Rebecca Black's """"Friday"
TXT_00168,@user are you going to meet dean Ambrose at iplay America next Saturday,Neutral,Community_Discussion,@user are you going to meet dean Ambrose at iplay America next Saturday,@user are you going to meet dean Ambrose at iplay America next Saturday
TXT_00173,THIS JUST IN!  We will be going to Kentucky Aug 25th for a big pool party show! Time to get nekkid!  Woo Hoo!...,Positive,Community_Discussion,THIS JUST IN!  We will be going to Kentucky Aug 25th for a big pool party show! Time to get nekkid!  Woo Hoo!...,THIS JUST IN! We will be going to Kentucky Aug 25th for a big pool party show! Time to get nekkid! Woo Hoo!..
TXT_00186,The only Milan player Carlos Bacca among the other 8 serie A players in the list here,Neutral,Community_Discussion,The only Milan player Carlos Bacca among the other 8 serie A players in the list here,The only Milan player Carlos Bacca among the other 8 serie A players in the list here
TXT_00201,Can you say Israel's bitch? What a fucking clown Chuck Norris is. Not to mention zerohedge is pushing disinformation,Negative,Community_Discussion,Can you say Israel's bitch? What a fucking clown Chuck Norris is. Not to mention zerohedge is pushing disinformation,Can you say Israel's bitch? What a fucking clown Chuck Norris is. Not to mention zerohedge is pushing disinformation
TXT_00203,"""I swear to god if this boy is pulling a Frank Ocean, all the boys will be crying. I have such trust issues now.",Negative,Community_Discussion,"""I swear to god if this boy is pulling a Frank Ocean, all the boys will be crying. I have such trust issues now.","""I swear to god if this boy is pulling a Frank Ocean, all the boys will be crying. I have such trust issues now."
TXT_00207,NBA Video - The Daily Zap: All the action from Wednesday\u2019s six pack can be found right here in the Daily Zap. #NBA,Neutral,Community_Discussion,NBA Video - The Daily Zap: All the action from Wednesday\u2019s six pack can be found right here in the Daily Zap. #NBA,NBA Video - The Daily Zap: All the action from Wednesday's six pack can be found right here in the Daily Zap. NBA
TXT_00224,RT @user There won't be just a Party in the USA tonight there'll be a Party Worldwide when Miley wins. BOOYAH! TCAForMiley,Positive,Community_Discussion,RT @user There won't be just a Party in the USA tonight there'll be a Party Worldwide when Miley wins. BOOYAH! TCAForMiley,RT @user There won't be just a Party in the USA tonight there'll be a Party Worldwide when Miley wins. BOOYAH! TCAForMiley
TXT_00240,"""In today's Guide I faff around the set of TFI Friday, get drunk in its bar, chat with Chris Evans and accidentally sit on one of Little Mix""",Positive,Feature_Feedback,"""In today's Guide I faff around the set of TFI Friday, get drunk in its bar, chat with Chris Evans and accidentally sit on one of Little Mix""","In today's Guide I faff around the set of TFI Friday, get drunk in its bar, chat with Chris Evans and accidentally sit on one of Little Mix"
TXT_00246,"""Frank Gifford was a class act. NYGiant star. A great announcer, the perfect balance for Cosell and Meredith on Monday Night Football. RIP""",Positive,Community_Discussion,"""Frank Gifford was a class act. NYGiant star. A great announcer, the perfect balance for Cosell and Meredith on Monday Night Football. RIP""","Frank Gifford was a class act. NYGiant star. A great announcer, the perfect balance for Cosell and Meredith on Monday Night Football. RIP"
TXT_00248,Murray struggling at moment but I think he'll come strong in 3rd &amp; 4th set to take it to decider #USOpen2015,Neutral,Community_Discussion,Murray struggling at moment but I think he'll come strong in 3rd &amp; 4th set to take it to decider #USOpen2015,Murray struggling at moment but I think he'll come strong in 3rd & 4th set to take it to decider USOpen2015
TXT_00249,uhh Oracle if there is no spoon what am I eating this 4th can of Spaghettios with?,Neutral,Community_Discussion,uhh Oracle if there is no spoon what am I eating this 4th can of Spaghettios with?,uhh Oracle if there is no spoon what am I eating this 4th can of Spaghettios with?
TXT_00257,TRUMP &amp; Scott WALKER are right.  We should amend the 14th Amendment of the US Constitution 2 allow deportation of IDIOTS-Like Trump &amp; Walker,Negative,Community_Discussion,TRUMP &amp; Scott WALKER are right.  We should amend the 14th Amendment of the US Constitution 2 allow deportation of IDIOTS-Like Trump &amp; Walker,TRUMP & Scott WALKER are right. We should amend the 14th Amendment of the US Constitution 2 allow deportation of IDIOTS-Like Trump & Walker
TXT_00272,@user I\u2019d go with my first time for Evanescence but the 2nd was amazing\u002c Nightwish was gorgeous\u002c same for GaGa\u002c so difficult ^^\u2019,Positive,Community_Discussion,@user I\u2019d go with my first time for Evanescence but the 2nd was amazing\u002c Nightwish was gorgeous\u002c same for GaGa\u002c so difficult ^^\u2019,"@user I'd go with my first time for Evanescence but the 2nd was amazing, Nightwish was gorgeous, same for GaGa, so difficult ^^'"
TXT_00287,@user @user @user the States ensured SCOTUS could take this action by enacting 14th Amendment,Neutral,Community_Discussion,@user @user @user the States ensured SCOTUS could take this action by enacting 14th Amendment,@user @user @user the States ensured SCOTUS could take this action by enacting 14th Amendment
TXT_00307,@user @user Reminded you of Arsenal's traditional Februray-April breakdown? Get off your high horse...,Negative,Technical_Issues,@user @user Reminded you of Arsenal's traditional Februray-April breakdown? Get off your high horse...,@user @user Reminded you of Arsenal's traditional Februray-April breakdown? Get off your high horse..
TXT_00327,"""#EvidentlyItsFrownedUpon to support Gay Marriage, Women's Choice, States Rights &amp; the 2nd Ammendment at the same time. Too much freedom?""",Negative,Community_Discussion,"""#EvidentlyItsFrownedUpon to support Gay Marriage, Women's Choice, States Rights &amp; the 2nd Ammendment at the same time. Too much freedom?""","EvidentlyItsFrownedUpon to support Gay Marriage, Women's Choice, States Rights & the 2nd Ammendment at the same time. Too much freedom?"
TXT_00332,Damn.... Miley Cyrus needs to watch it that bitch is gonna get sat on and crushed by Nicki.,Negative,Community_Discussion,Damn.... Miley Cyrus needs to watch it that bitch is gonna get sat on and crushed by Nicki.,Damn.. Miley Cyrus needs to watch it that bitch is gonna get sat on and crushed by Nicki.
TXT_00341,"""I may be in the minority, but I think Kenny Lofton may have been wronged by The Hardline. Decide for yourself.",Negative,Community_Discussion,"""I may be in the minority, but I think Kenny Lofton may have been wronged by The Hardline. Decide for yourself.","""I may be in the minority, but I think Kenny Lofton may have been wronged by The Hardline. Decide for yourself."
TXT_00342,Sorry by Justin Bieber has come on and I'm having flashbacks of screaming and stomping along to it with @user last Wednesday,Neutral,Community_Discussion,Sorry by Justin Bieber has come on and I'm having flashbacks of screaming and stomping along to it with @user last Wednesday,Sorry by Justin Bieber has come on and I'm having flashbacks of screaming and stomping along to it with @user last Wednesday
TXT_00345,@user  But foreign intervention isn\u2019t helping but i think Qabiil is doing HEFTY damage in Somalia. It divided us in the 1st place,Negative,Community_Discussion,@user  But foreign intervention isn\u2019t helping but i think Qabiil is doing HEFTY damage in Somalia. It divided us in the 1st place,@user But foreign intervention isn't helping but i think Qabiil is doing HEFTY damage in Somalia. It divided us in the 1st place
TXT_00356,"@user Although you may know this better than I do since you're from California lol I'm not knocking Jay-Z view in black culture, I say",Positive,Community_Discussion,"@user Although you may know this better than I do since you're from California lol I'm not knocking Jay-Z view in black culture, I say","@user Although you may know this better than I do since you're from California lol I'm not knocking Jay-Z view in black culture, I say"
TXT_00367,Men\u2019s latest bedroom worry: \u201950 Shades\u2019: E L James\u2019 \u2019Fifty Shades of Grey\u2019 may be supercharging the sex-drives o...,Negative,Community_Discussion,Men\u2019s latest bedroom worry: \u201950 Shades\u2019: E L James\u2019 \u2019Fifty Shades of Grey\u2019 may be supercharging the sex-drives o...,Men's latest bedroom worry: '50 Shades': E L James' 'Fifty Shades of Grey' may be supercharging the sex-drives o..
TXT_00379,The GOP's greatest crime? @user Boehner proposes Obama speech be on the same night as NFL opening night...,Negative,Community_Discussion,The GOP's greatest crime? @user Boehner proposes Obama speech be on the same night as NFL opening night...,The GOP's greatest crime? @user Boehner proposes Obama speech be on the same night as NFL opening night..
TXT_00386,Thursday Night Football:Tampa Bay Buccaneers V Minnesota Vikings ...: Vimeo is the home for high-quality videos ...,Positive,Community_Discussion,Thursday Night Football:Tampa Bay Buccaneers V Minnesota Vikings ...: Vimeo is the home for high-quality videos ...,Thursday Night Football:Tampa Bay Buccaneers V Minnesota Vikings ..: Vimeo is the home for high-quality videos ..
TXT_00388,The worst part about #hhn25 being over may actually be that tonight was the last time I'll see Thor and Captain America's abs. #billandted,Negative,Community_Discussion,The worst part about #hhn25 being over may actually be that tonight was the last time I'll see Thor and Captain America's abs. #billandted,The worst part about hhn25 being over may actually be that tonight was the last time I'll see Thor and Captain America's abs. billandted
TXT_00402,Fuck a Saturday class I just wanna go home and play with our squirrel and watch Jurassic Park,Negative,Feature_Feedback,Fuck a Saturday class I just wanna go home and play with our squirrel and watch Jurassic Park,Fuck a Saturday class I just wanna go home and play with our squirrel and watch Jurassic Park
TXT_00403,"""Lets fly like a bird! This friday a new Birdhouse edition at the Jimmy Woo with Flava, Clay, Youri Alexander, Don Perigion and more!""",Neutral,Community_Discussion,"""Lets fly like a bird! This friday a new Birdhouse edition at the Jimmy Woo with Flava, Clay, Youri Alexander, Don Perigion and more!""","Lets fly like a bird! This friday a new Birdhouse edition at the Jimmy Woo with Flava, Clay, Youri Alexander, Don Perigion and more!"
TXT_00412,Israel it's terrorism. #Israel #free_palestine  #science #math #ACT #SAT #scholarship #highered,Negative,Community_Discussion,Israel it's terrorism. #Israel #free_palestine  #science #math #ACT #SAT #scholarship #highered,Israel it's terrorism. Israel free_palestine science math ACT SAT scholarship highered
TXT_00420,"""\""""""""How many continents was The Challenge filmed on?\"""""""" \""""""""21?\"""""""" okay\u002c what did you fail 2nd grade?""",Negative,Community_Discussion,"""\""""""""How many continents was The Challenge filmed on?\"""""""" \""""""""21?\"""""""" okay\u002c what did you fail 2nd grade?""","How many continents was The Challenge filmed on?"""" """"21?"""" okay, what did you fail 2nd grade?"
TXT_00434,"@user OK, then I probably watched that one too.  I remember Ric Flair.  I loved the Monday Night Wars.",Positive,Community_Discussion,"@user OK, then I probably watched that one too.  I remember Ric Flair.  I loved the Monday Night Wars.","@user OK, then I probably watched that one too. I remember Ric Flair. I loved the Monday Night Wars."
TXT_00449,"""The first Hickman Reading Club meeting is Thursday, September 27 from 3:00 to 4:00. See you there! :)""",Positive,Community_Discussion,"""The first Hickman Reading Club meeting is Thursday, September 27 from 3:00 to 4:00. See you there! :)""","The first Hickman Reading Club meeting is Thursday, September 27 from 3:00 to 4:00. See you there! :)"
TXT_00451,"""Been a little busy lately, just now getting to see Ant-Man. Oh and I'm a child! @ West 21st St. Warren",Positive,Community_Discussion,"""Been a little busy lately, just now getting to see Ant-Man. Oh and I'm a child! @ West 21st St. Warren","""Been a little busy lately, just now getting to see Ant-Man. Oh and I'm a child! @ West 21st St. Warren"
TXT_00465,UK vs SC game Sat at 7pm. Only on CBS College Sports. Channel 256 in the Preferred tier in Bremen&Brooks. Call 855-55-CABLE & upgrade! #fb,Positive,Community_Discussion,UK vs SC game Sat at 7pm. Only on CBS College Sports. Channel 256 in the Preferred tier in Bremen&Brooks. Call 855-55-CABLE & upgrade! #fb,UK vs SC game Sat at 7pm. Only on CBS College Sports. Channel 256 in the Preferred tier in Bremen&Brooks. Call 855-55-CABLE & upgrade! fb
TXT_00469,Hulk Hogan you did nothing wrong! I work a black man. We call each other nigga all the time. He may be my...,Positive,Community_Discussion,Hulk Hogan you did nothing wrong! I work a black man. We call each other nigga all the time. He may be my...,Hulk Hogan you did nothing wrong! I work a black man. We call each other nigga all the time. He may be my..
TXT_00478,"""Germany refusing to bail out Italy: Source: polizeros.com --- Saturday, August 06, 2011Zero Hedge It just went f...",Neutral,Community_Discussion,"""Germany refusing to bail out Italy: Source: polizeros.com --- Saturday, August 06, 2011Zero Hedge It just went f...","""Germany refusing to bail out Italy: Source: polizeros.com -- Saturday, August 06, 2011Zero Hedge It just went f.."
TXT_00479,@user @user I dropped my iPhone in the beer cooler on the beach yesterday so I gotta get a new one tomorrow,Negative,Community_Discussion,@user @user I dropped my iPhone in the beer cooler on the beach yesterday so I gotta get a new one tomorrow,@user @user I dropped my iPhone in the beer cooler on the beach yesterday so I gotta get a new one tomorrow
TXT_00483,@user how do you think Tom Brady will play this Thursday on TNF?,Neutral,Community_Discussion,@user how do you think Tom Brady will play this Thursday on TNF?,@user how do you think Tom Brady will play this Thursday on TNF?
TXT_00487,"@user Hi Stephen, wanted to double check with you on your availability for Eid Dinner on Sat 25th at The Orchards from 11:30 to 13:30""",Neutral,Community_Discussion,"@user Hi Stephen, wanted to double check with you on your availability for Eid Dinner on Sat 25th at The Orchards from 11:30 to 13:30""","@user Hi Stephen, wanted to double check with you on your availability for Eid Dinner on Sat 25th at The Orchards from 11:30 to 13:30"""
TXT_00493,"@user I was just about to say, I know where NaterTater is going to be tonight...It's PaleyFest for Castle so I am not THAT stalkerish""",Neutral,Community_Discussion,"@user I was just about to say, I know where NaterTater is going to be tonight...It's PaleyFest for Castle so I am not THAT stalkerish""","@user I was just about to say, I know where NaterTater is going to be tonight..It's PaleyFest for Castle so I am not THAT stalkerish"""
TXT_00495,Mighty Quinn: November 14: And the the winner is ... Curtis The Boxer:,Neutral,Feature_Feedback,Mighty Quinn: November 14: And the the winner is ... Curtis The Boxer:,Mighty Quinn: November 14: And the the winner is .. Curtis The Boxer:
TXT_00514,"@user @user @user @user Seinfeld when Kramer is lost and confused, ""I'm on the corner of 1st and 1st?",Positive,Community_Discussion,"@user @user @user @user Seinfeld when Kramer is lost and confused, ""I'm on the corner of 1st and 1st?","@user @user @user @user Seinfeld when Kramer is lost and confused, ""I'm on the corner of 1st and 1st?"
TXT_00524,"""Blog Post: MTV\u2019s \""""""""Teen Mom 2\"""""""" Returns for an Intense Third Season with Chelsea\u002c Jenelle\u002c Kailyn and Leah on Monday\u002c...",Neutral,Community_Discussion,"""Blog Post: MTV\u2019s \""""""""Teen Mom 2\"""""""" Returns for an Intense Third Season with Chelsea\u002c Jenelle\u002c Kailyn and Leah on Monday\u002c...","""Blog Post: MTV's """"Teen Mom 2"""" Returns for an Intense Third Season with Chelsea, Jenelle, Kailyn and Leah on Monday,.."
TXT_00527,"""Ukraine negotiates free trade agreements with Turkey and Israel: TASS - Economy - Sat, 26 Dec 2015 21:01:26 GM...",Neutral,Community_Discussion,"""Ukraine negotiates free trade agreements with Turkey and Israel: TASS - Economy - Sat, 26 Dec 2015 21:01:26 GM...","""Ukraine negotiates free trade agreements with Turkey and Israel: TASS - Economy - Sat, 26 Dec 2015 21:01:26 GM.."
TXT_00528,Awesome acapella version of Bob Marley's 'Could you be loved' to brighten everyone's Thursday morning! :D,Positive,Community_Discussion,Awesome acapella version of Bob Marley's 'Could you be loved' to brighten everyone's Thursday morning! :D,Awesome acapella version of Bob Marley's 'Could you be loved' to brighten everyone's Thursday morning! :D
TXT_00558,"""*sunrise* Rahul Gandhi : Can you see sunlight? Students : Yesss! Rahul Gandhi : May be you can see it, i don't, i am inside the hall.""",Neutral,Community_Discussion,"""*sunrise* Rahul Gandhi : Can you see sunlight? Students : Yesss! Rahul Gandhi : May be you can see it, i don't, i am inside the hall.""","*sunrise* Rahul Gandhi : Can you see sunlight? Students : Yess! Rahul Gandhi : May be you can see it, i don't, i am inside the hall."
TXT_00561,George Osborne recently parked his tanks on Labour's lawn. Now he's turned off the engines:,Neutral,Community_Discussion,George Osborne recently parked his tanks on Labour's lawn. Now he's turned off the engines:,George Osborne recently parked his tanks on Labour's lawn. Now he's turned off the engines:
TXT_00562,"""i haven't hung out with deron since sunday, & i feel like i havent hung out with him in forever. #FootballBoyfriendProbz""",Negative,Community_Discussion,"""i haven't hung out with deron since sunday, & i feel like i havent hung out with him in forever. #FootballBoyfriendProbz""","i haven't hung out with deron since sunday, & i feel like i havent hung out with him in forever. FootballBoyfriendProbz"
TXT_00570,Conor McGregor will be serenaded into the Octagon by Sinead O'Connor on Saturday night. The Dubliner takes on Chad Mendes for the UFC's,Neutral,Community_Discussion,Conor McGregor will be serenaded into the Octagon by Sinead O'Connor on Saturday night. The Dubliner takes on Chad Mendes for the UFC's,Conor McGregor will be serenaded into the Octagon by Sinead O'Connor on Saturday night. The Dubliner takes on Chad Mendes for the UFC's
TXT_00580,I\u2019m going to the Duke game on Saturday. Haha. DUKE. What\u2019a joke they are.,Negative,Community_Discussion,I\u2019m going to the Duke game on Saturday. Haha. DUKE. What\u2019a joke they are.,I'm going to the Duke game on Saturday. Haha. DUKE. What'a joke they are.
TXT_00586,I don\u2019t want to go to school on Monday . My excuse will be that HISD doesn\u2019t have school lol ~,Negative,Community_Discussion,I don\u2019t want to go to school on Monday . My excuse will be that HISD doesn\u2019t have school lol ~,I don't want to go to school on Monday . My excuse will be that HISD doesn't have school lol ~
TXT_00605,"What a great way to start out the Men's Retreat, PANCAKES! We are all meeting Friday morning at 8am at IHOP on...",Positive,Community_Discussion,"What a great way to start out the Men's Retreat, PANCAKES! We are all meeting Friday morning at 8am at IHOP on...","What a great way to start out the Men's Retreat, PANCAKES! We are all meeting Friday morning at 8am at IHOP on.."
TXT_00607,Boko Haram on Saturday claimed responsibility for attacks in Chad's capital N'Djamena and the Nigerian city of...,Negative,Community_Discussion,Boko Haram on Saturday claimed responsibility for attacks in Chad's capital N'Djamena and the Nigerian city of...,Boko Haram on Saturday claimed responsibility for attacks in Chad's capital N'Djamena and the Nigerian city of..
TXT_00613,Seeing everyone's posts at the Mid state Fair getting for Jason aldean is making me so excited for tomorrow :),Positive,Community_Discussion,Seeing everyone's posts at the Mid state Fair getting for Jason aldean is making me so excited for tomorrow :),Seeing everyone's posts at the Mid state Fair getting for Jason aldean is making me so excited for tomorrow :)
TXT_00616,"""\"""": #Patriots Tom Brady wins AFC offensive player of the week for 22nd time.\""""... --#NFL""",Positive,Community_Discussion,"""\"""": #Patriots Tom Brady wins AFC offensive player of the week for 22nd time.\""""... --#NFL""","\"""": Patriots Tom Brady wins AFC offensive player of the week for 22nd time.\"""".. --NFL"
TXT_00642,"@user on Sunday in Milan it's Derby Day! I'm re-wearching that video about it, Sick. #Amala #forzaInter""",Positive,Community_Discussion,"@user on Sunday in Milan it's Derby Day! I'm re-wearching that video about it, Sick. #Amala #forzaInter""","@user on Sunday in Milan it's Derby Day! I'm re-wearching that video about it, Sick. Amala forzaInter"""
TXT_00648,I'm going to take it one step further tomorrow as the next David Beckham.,Positive,Community_Discussion,I'm going to take it one step further tomorrow as the next David Beckham.,I'm going to take it one step further tomorrow as the next David Beckham.
TXT_00650,"The Dudley Boyz, Ric Flair &amp; Sting all in the same night?! Great Monday Night Raw! #AttitudeEra @user",Positive,Community_Discussion,"The Dudley Boyz, Ric Flair &amp; Sting all in the same night?! Great Monday Night Raw! #AttitudeEra @user","The Dudley Boyz, Ric Flair & Sting all in the same night?! Great Monday Night Raw! AttitudeEra @user"
TXT_00657,nick jonas and justin bieber soundtracking my last day in the sun...,Positive,Community_Discussion,nick jonas and justin bieber soundtracking my last day in the sun...,nick jonas and justin bieber soundtracking my last day in the sun..
TXT_00660,I have an extra ticket for kenny chesney and Jason aldean Saturday at Metlife if you want to go let me know!,Neutral,Community_Discussion,I have an extra ticket for kenny chesney and Jason aldean Saturday at Metlife if you want to go let me know!,I have an extra ticket for kenny chesney and Jason aldean Saturday at Metlife if you want to go let me know!
TXT_00666,"@user @user @user ""Bennet later dodged a question about the possibility of a Joe Biden run"", 4th down eh? UR all hypocrites!",Negative,Technical_Issues,"@user @user @user ""Bennet later dodged a question about the possibility of a Joe Biden run"", 4th down eh? UR all hypocrites!","@user @user @user ""Bennet later dodged a question about the possibility of a Joe Biden run"", 4th down eh? UR all hypocrites!"
TXT_00672,Dustin Johnson will be awesome until he needs a 2ft putt on the 72nd hole come Sunday. Folds like a lawn chair under pressure. #PGA,Positive,Community_Discussion,Dustin Johnson will be awesome until he needs a 2ft putt on the 72nd hole come Sunday. Folds like a lawn chair under pressure. #PGA,Dustin Johnson will be awesome until he needs a 2ft putt on the 72nd hole come Sunday. Folds like a lawn chair under pressure. PGA
TXT_00692,The 'Muslims Facing Tomorrow' organization is as big of a joke as the 'Muslim Canadian Congress' organization.,Negative,Community_Discussion,The 'Muslims Facing Tomorrow' organization is as big of a joke as the 'Muslim Canadian Congress' organization.,The 'Muslims Facing Tomorrow' organization is as big of a joke as the 'Muslim Canadian Congress' organization.
TXT_00695,Wish @user was in the 574 so we could go to IHOP tomorrow,Positive,Community_Discussion,Wish @user was in the 574 so we could go to IHOP tomorrow,Wish @user was in the 574 so we could go to IHOP tomorrow
TXT_00705,"""\""""""""@__ChelleBell__: @user @user oh ok. Pick Jessica ass up too when you come.\"""""""" Imaaa just come tomorrow!""",Neutral,Community_Discussion,"""\""""""""@__ChelleBell__: @user @user oh ok. Pick Jessica ass up too when you come.\"""""""" Imaaa just come tomorrow!""","\""""@user: @user @user oh ok. Pick Jessica ass up too when you come.\"""" Imaa just come tomorrow!"
TXT_00707,I feel bad for Niall girls because Niall hooked up with a girl and gave her his number and 7th row tickets for their concert... stay strong,Neutral,Community_Discussion,I feel bad for Niall girls because Niall hooked up with a girl and gave her his number and 7th row tickets for their concert... stay strong,I feel bad for Niall girls because Niall hooked up with a girl and gave her his number and 7th row tickets for their concert.. stay strong
TXT_00710,"Contrary to what you may have heard in the media, Rick Perry has a loyal, dedicated team that is committed to...",Positive,Community_Discussion,"Contrary to what you may have heard in the media, Rick Perry has a loyal, dedicated team that is committed to...","Contrary to what you may have heard in the media, Rick Perry has a loyal, dedicated team that is committed to.."
TXT_00717,Old school Green Day and Sum 41 playing at work. I just might make it through the night,Neutral,Community_Discussion,Old school Green Day and Sum 41 playing at work. I just might make it through the night,Old school Green Day and Sum 41 playing at work. I just might make it through the night
TXT_00724,Real Madrid and/or #mufc may consider an appeal over the cause of the David De Gea delay (i.e. computer glitch). #SSNHQ,Neutral,Technical_Issues,Real Madrid and/or #mufc may consider an appeal over the cause of the David De Gea delay (i.e. computer glitch). #SSNHQ,Real Madrid and/or mufc may consider an appeal over the cause of the David De Gea delay (i.e. computer glitch). SSNHQ
TXT_00728,Sunday is National Ice Cream Day. BUT ... we think it's fine to celebrate early.,Positive,Community_Discussion,Sunday is National Ice Cream Day. BUT ... we think it's fine to celebrate early.,Sunday is National Ice Cream Day. BUT .. we think it's fine to celebrate early.
